# SCOPE: Archdiocese of Detroit FY24/25 parish workbooks, all 209 parishes. Source: https://restructuring.aod.org/parish-workbooks (filecamp PDFs, published from 2026-03-04). Facts are the AOD's, cited as the AOD's; this compilation CC BY-NC 4.0. Extracted 2026-07-21. Figures FY24/25 unless noted; blanks = not stated in that workbook.
parish,city,planning_area,weekly_mass_attendance,seats_capacity,capacity_utilization_pct,registered_households,baptisms_2024,first_communions_2024,confirmations_2024,marriages_2024,funerals_2024,total_revenue_fy2425,total_expenses_fy2425,net_income_fy2425,unrestricted_savings,cash,endowments,donor_restricted,payable_loans,priests_assigned,savings_per_weekly_attendee,confidence,workbook_url
"St. Clare of Montefalco Parish, Grosse Pointe Park",Grosse Pointe Park,11,537,870,21,916,47,19,0,1,21,2491389,2314631,176758,1547575,,681780,0,0,,2882,clean,https://aod.filecamp.com/s/i/TumvBnsj1O9bc53A
"St. Clement of Rome Parish, Romeo",,,1218,1100,28,2019,107,45,45,7,28,1796283,1678404,117879,134805,135318,4199045,58989,0,,111,partial,https://aod.filecamp.com/s/i/HzuDqcLpVJPvggZ0
"St. Colette Parish, Livonia",,,968,900,27,,18,13,22,2,57,1212769,1340747,-127977,2225329,2258251,,0,0,,2299,clean,https://aod.filecamp.com/s/i/ZfjclGRJWnmVMt62
"St. Constance Parish, Taylor",Taylor,4,205,400,51,,6,10,9,1,19,291691,349762,-58071,,,0,0,0,,,clean,https://aod.filecamp.com/s/i/HSoUhxhu9IC92eFo
"St. Cornelius Parish, Dryden",,,251,420,30,,3,3,36,1,4,335410,286734,48677,79478,440029,0,0,0,,317,clean,https://aod.filecamp.com/s/i/vVLDmjuaIZCNoS2E
"St. Cunegunda Parish, Detroit",,,216,575,19,261,9,12,20,1,1,149760,169389,-19629,60307,60307,0,0,0,,279,clean,https://aod.filecamp.com/s/i/lCXgqPWWilUCyWJ0
"St. Cyprian Parish, Riverview",,,422,700,30,,9,10,11,1,35,694605,628165,66440,544980,544980,,40053,0,,1291,clean,https://aod.filecamp.com/s/i/FVy1oUzjJ4fJaGvU
"St. Damien of Molokai Parish, Pontiac",,,1735,1150,30,1638,66,97,98,23,26,789753,810192,-20439,49867,49867,,,0,,29,clean,https://aod.filecamp.com/s/i/tfHskbBk0rlXVfVO
"St. Daniel Parish, Clarkston",,,1379,700,49,,38,45,62,6,36,1862322,1538935,323386,1347933,,,0,0,,977,clean,https://aod.filecamp.com/s/i/ksbDavxww9cQYEVV
"St. Edith Parish, Livonia",,,1035,1100,24,2131,71,69,46,15,78,3075363,3055622,19741,1327726,,0,0,0,,1283,partial,https://aod.filecamp.com/s/i/qbduLF1PiUColLWY
