# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
our-lady-of-siluva-maizeville-pa,US,Maizeville,PA,Šiluvos Dievo Motinos,our lady of šiluva,maizeville,siluv|sziluv,50,3,closed,1967,2008,canonical-83,founded from cand-137,Schuylkill,near Mahanoy City
st-vincent-de-paul-girardville-pa,US,Girardville,PA,Šv. Vincento de Paul,st. vincent de paul,girardville,vincent,51,4,closed,1907,2026,canonical-83,,Schuylkill,
st-joseph-nanticoke-pa,US,Nanticoke,PA,Šv. Juozapo,st. joseph,nanticoke,juozap,52,29,closed,1908,,canonical-83,,Luzerne,
st-casimir-providence-ri,US,Providence,RI,Šv. Kazimiero,st. casimir,providence,kazimier,53,66,closed,1919,2017,canonical-83,founded from cand-137,,
st-andrew-philadelphia-pa,US,Philadelphia,PA,Šv. Andriejaus,st. andrew,philadelphia|filadelfij,andriej,54,31,standing,1924,,canonical-83,,,
st-casimir-philadelphia-pa,US,Philadelphia,PA,Šv. Kazimiero,st. casimir,philadelphia|filadelfij,kazimier,55,32,suppressed,1893,2011,canonical-83,,,
st-george-philadelphia-pa,US,Philadelphia,PA,Šv. Jurgio,st. george,philadelphia|filadelfij,jurgi,56,33,merged,1920,2016,canonical-83,founded from cand-137,,
st-peter-boston-ma,US,Boston,MA,Šv. Petro,st. peter,boston,petro,57,,standing,1896,,canonical-83,,,
holy-cross-dayton-oh,US,Dayton,OH,Šv. Kryžiaus,holy cross,dayton,kryzi,58,115,standing,1915,,canonical-83,,,
st-casimir-cleveland-oh,US,Cleveland,OH,Šv. Kazimiero,st. casimir,cleveland|klivland|klyvlend,kazimier,59,,standing,2009,,canonical-83,,,
nativity-of-the-bvm-chicago-il,US,Chicago,IL,Švč. Mergelės Marijos Gimimo,nativity of the bvm,chicago|cikag|chicagos|chicagoj,gimimo,60,91,standing,1927,,canonical-83,,,
immaculate-conception-chicago-il,US,Chicago,IL,Švč. M. Marijos Nekalto Prasidėjimo,immaculate conception,chicago|cikag|chicagos|chicagoj,prasidejim|nekalt,61,92,merged,1914,,canonical-83,,,
st-anthony-cicero-il,US,Cicero,IL,Šv. Antano,st. anthony,cicero,antan,62,93,standing,1911,,canonical-83,,Cook,
providence-of-god-southfield-mi,US,Southfield,MI,Dievo Apvaizdos,providence of god,southfield,apvaizd,63,121,standing,1908,,canonical-83,,Oakland,
blessed-jurgis-matulaitis-mission-lemont-il,US,Lemont,IL,Pal. Jurgio Matulaičio Misija,blessed jurgis matulaitis mission,lemont,matulai,64,98,standing,1990,,canonical-83,,Cook,
annunciation-brooklyn-ny,US,Brooklyn,NY,Švč. M. Marijos Apreiškimo,annunciation,brooklyn|bruklin,apreisk|apreiszk|apsireisk|apsireiszk,65,70,standing,1914,,canonical-83,,Kings,New York City borough
transfiguration-maspeth-ny,US,Maspeth,NY,Kristaus Atsimainymo,transfiguration,maspeth,atsimainym,66,69,undecided,1962,,canonical-83,,Queens,"Queens, NYC"
ss-peter-and-paul-elizabeth-nj,US,Elizabeth,NJ,Šv. Petro ir Povilo,ss. peter and paul,elizabeth,povil,67,80,undecided,1895,,canonical-83,,,
lithuanian-church-kearny-nj,US,Kearny,NJ,Lietuvių bažnyčia (Kearny),lithuanian church,kearny,,68,,standing,,,canonical-83,,,
st-george-bridgeport-ct,US,Bridgeport,CT,Šv. Jurgio,st. george,bridgeport,jurgi,69,64,standing,1912,,canonical-83,founded from cand-137,,
holy-trinity-hartford-ct,US,Hartford,CT,Švč. Trejybės,holy trinity,hartford,trejyb,70,60,standing,1915,,canonical-83,founded from cand-137,,
st-ann-luzerne-pa,US,Luzerne,PA,Šv. Onos,st. ann,luzerne,onos,71,23,standing,1924,,canonical-83,founded from cand-137,Luzerne,near Wilkes-Barre
annunciation-frackville-pa,US,Frackville,PA,Šv. M. Marijos Apsireiškimo,annunciation,frackville,apreisk|apreiszk|apsireisk|apsireiszk,72,1,standing,1914,,canonical-83,,Schuylkill,
st-casimir-los-angeles-ca,US,Los Angeles,CA,Šv. Kazimiero,st. casimir,los angeles,kazimier,73,129,standing,1941,,canonical-83,founded from cand-137,,
ss-peter-and-paul-grand-rapids-mi,US,Grand Rapids,MI,Šv. Petro ir Povilo,ss. peter and paul,grand rapids,povil,74,122,standing,1904,,canonical-83,,Kent,
immaculate-conception-east-st-louis-il,US,East St. Louis,IL,Nekaltojo Prasidėjimo,immaculate conception,east st. louis|east saint louis|east st louis,prasidejim|nekalt,75,102,standing,1895,,canonical-83,,St. Clair,
st-casimir-waterbury-ct,US,Waterbury,CT,Šv. Kazimiero,st. casimir,waterbury|vaterbur,kazimier,76,,standing,,,canonical-83,,New Haven,
