# SCOPE: AOD parish workbook index; captured 2026-07-19 from https://restructuring.aod.org/parish-workbooks (in-browser); FY24/25 workbooks published from 2026-03-04; one row per parish PDF at https://aod.filecamp.com/s/i/<id>
parish,filecamp_id
"St. Paul on the Lake Parish, Grosse Pointe Farms",CV9isvzcrwri3V6a
"St. Pio of Pietrelcina Parish, Roseville",CmqyZlzGr1XGbfIj
"St. Veronica Parish, Eastpointe",sjLbtqnWlTpqLEZr
"Our Lady of Grace (Vietnamese) Parish, Warren",OcEbwOYB50lNSJHZ
"San Francesco (Italian) Parish, Clinton Township",L6YBT6rBaYhwaHVF
"St. Anne Parish, Warren",0B93LUNIKWFVmpRv
"St. Blase Parish, Sterling Heights",acI5PT682xWv7ANT
"St. Faustina Parish, Warren",COuXx0lhWQCst6u6
"St. Hubert Parish, Harrison Township",U456INAeLkl8HeVV
"St. Louis Parish, Clinton Township",65JTKK8XIehsrTej
"St. Louise de Marillac Parish, Warren",7iEtp5kphkAQaWsJ
"St. Malachy Parish, Sterling Heights",dClZ5mLkNGmue50v
"St. Mark Parish, Warren",Z07tyBvHKrVb7RJE
"St. Martin de Porres Parish, Warren",l01fthRAzxncNoQP
"St. Mary, Our Lady Queen of Families Parish, Center Line",kzguoM3p8Y9GUXGi
"St. Paul of Tarsus Parish, Clinton Township",JYPtamc72aYoQG8J
"St. Peter Parish, Mount Clemens",9zdPULEwrJ4zFv1s
"St. Ronald Parish, Clinton Township",Uu2GU04BuvQPQ4wj
"St. Thecla Parish, Clinton Township",EenWNnWcn7juN4AP
"Our Lady of Czestochowa (Polish) Parish, Sterling Heights",xufaO8GA91Oz1trP
"SS. Cyril and Methodius (Slovak) Parish, Sterling Heights",PE1dR6RlhYtB3FUt
"SS. John and Paul Parish, Washington Township",0KHYVQL1ezWoM9Io
"St. Anastasia Parish, Troy",N944yZkkkgIji5kc
"St. Ephrem Parish, Sterling Heights",of35IQ82DlErgXhS
"St. Isidore Parish, Macomb Township",g5lVIRMWbxXoYNA1
"St. Jane Frances de Chantal Parish, Sterling Heights",HClXgaxHAoiXYBDe
"St. John Vianney Parish, Shelby Township",TXPGNSx1PrV3PbNr
"St. Kieran Parish, Shelby Township",H7qqTH3WotldPxH3
"St. Lawrence Parish, Utica",d1mqoQmMaih6rfIP
"St. Matthias Parish, Sterling Heights",yz00215myb1T9owl
"St. Michael Parish, Sterling Heights",UhXSNtv6qrdfpYNq
"St. Rene Goupil Parish, Sterling Heights",qGqrbwY8BqQzbUcF
"St. Therese of Lisieux Parish, Shelby Township",shlLBBhYSuXifn1u
"Holy Family Parish, Memphis",mk1eA7DVNUvHWz7H
"Holy Trinity Parish, Port Huron",hl3GB8jaVxAysHHP
"Immaculate Conception Parish, Ira Township",2vt290jttw1cwlcD
"Our Lady of Mount Carmel Parish, Emmett",HUyPWEHQuJUiqMQm
"Our Lady on the River Parish, Marine City",jnuPpuJxoaw6x73t
"Sacred Heart Parish, Yale",UGm9BSb7yw7iEscz
"St. Augustine Parish, Richmond",aBLIAeQfkJ3ZdmY5
"St. Christopher Parish, Marysville",JXaKmm9IO7UivYnp
"St. Edward on the Lake Parish, Lakeport",M0edaNTO2L4Zs9hg
"St. Mary Parish, Port Huron",mCxfP8SDLMqznnGD
"St. Mary Parish, St. Clair",mwMRgmoBdehYM6OQ
"St. Mary Queen of Creation Parish, New Baltimore",5Wu5OoAg1xThnvoD
"Immaculate Conception Parish, Lapeer",QbpIlPxklOXJPene
"Sacred Heart Mission, Brown City",kWrU6OphY0ZeMehY
"Sacred Heart Parish, Imlay City",yqu2FQj1BlT0ITUC
"SS. Peter and Paul Parish, North Branch",SGZ1SrkuaGRsKhJK
"St. Clement of Rome Parish, Romeo",HzuDqcLpVJPvggZ0
"St. Cornelius Parish, Dryden",vVLDmjuaIZCNoS2E
"St. Francis of Assisi-St. Maximilian Kolbe Parish, Ray Township",eJ7jDYmeuZxEQRN1
"St. John the Evangelist Parish, Allenton",ofaZCKJFeOAzLOWv
"St. Mary Burnside Parish, North Branch",whH2OLCOgXyJupJN
"St. Mary Mystical Rose Parish, Armada",heN2uFDD4YQcDJ7b
